          11           2
           4           3
           1           6
          10           7
           7           7
           1           3
           7           7
           8           4
           2           9
           6           6
           8           7
           4          11
           5           8
           7           3
           4           3
           6           1
           7           4
           3          10
           6           5
           8           4
           3           5
           5           5
           9           9
           3           8
           3           1
           9           9
           5           6
           2           2
           9           8
           7           7
